MainTopic,SubTopic,Book,Chapter,Verse,Verses
People,Jesus,Titus,,,"1:1; 1:4; 2:13; 3:6"
People,Jesus,Philemon,,,"1:1; 1:3; 1:5-6; 1:9; 1:23; 1:25"
People,Jesus,Hebrews,,,"2:9; 3:1; 4:14; 6:20; 7:22; 10:10; 10:19; 12:2; 12:24; 13:8; 13:12; 13:20-21"
People,Jesus,James,,,"1:1; 2:1"
People,Jesus,1 Peter,,,"1:1-3; 1:7; 1:13; 2:5; 3:21; 4:11; 5:10; 5:14"
People,Jesus,2 Peter,,,"1:1-2; 1:8; 1:11; 1:14; 1:16; 2:20; 3:18"
People,Jesus,1 John,,,"1:3; 1:7; 2:1; 2:22; 3:23; 4:2-3; 4:15; 5:1; 5:5-6; 5:20"
People,Jesus,2 John,,,"1:3; 1:7"
People,Jesus,Jude,,,"1:1; 1:4; 1:17; 1:21"
People,Jesus,Revelation,,,"1:1-2; 1:5; 1:9; 12:17; 14:4; 14:12; 17:6; 19:10; 20:4; 22:16; 22:20-21"

People,Jesus Christ,Matthew,,,"1:1; 1:18"
People,Jesus Christ,Mark,,,"1:1"
People,Jesus Christ,John,,,"1:17; 17:3"
People,Jesus Christ,Acts,,,"2:38; 3:6; 4:10; 8:12; 9:34; 10:36; 10:48; 11:17; 15:26; 16:18; 16:31; 28:31"
People,Jesus Christ,Romans,,,"1:1; 1:4; 1:6-8; 2:16; 3:22; 5:1; 5:11; 5:15; 5:17; 5:21; 7:25; 13:14; 14:24; 14:26; 15:6; 15:30; 16:18; 16:20; 16:24
People,Jesus Christ,1 Corinthians,,,"1:1-3; 1:7-10; 2:2; 3:11; 5:4; 8:6; 9:1; 15:57; 16:22-23"
People,Jesus Christ,2 Corinthians,,,"1:2-3; 1:19; 4:6; 5:18; 8:9; 11:31; 13:5; 13:14"
People,Jesus Christ,Galatians,,,"1:1; 1:3; 1:12; 2:16; 3:1; 3:22; 6:14; 6:18"
People,Jesus Christ,Ephesians,,,"1:2-3; 1:5; 1:17; 3:9; 3:14; 5:20; 6:23-24"
People,Jesus Christ,Philippians,,,"1:1-2; 1:6; 1:11; 1:19; 2:11; 2:21; 3:20; 4:23;"
People,Jesus Christ,Colossians,,,"1:2-3"
